url,name,description
https://book.douban.com/subject/26586492/,火星救援,六天前，马克·沃特尼成为了第一批行走在火星上的人。如今，他也将成为第一个葬身火星的人。一场突如其来的风暴让阿瑞斯三船员被迫放弃任务。撤离过程中，沃特尼遭遇意外，被孤身一人丢在了这片寸草不生的红色荒漠中，剩余的补给也远不够撑到救援可能抵达的那一天。当然，沃特尼也不准备坐以待毙，凭借着他的植物学家和机械工程师背景，他决定跟火星来一场不是你死就是我活的过家家游戏。
https://book.douban.com/subject/20370889/,霍比特人,在地底的洞府中住着一个霍比特人。比尔博，一个热爱安逸生活的霍比特人，自得其乐地待在袋底洞他的霍比特洞府里。清晨和煦，睿智巫师甘道夫的到来打破了宁静。“越过冰冷而又雾蒙蒙的大山，在那深深地下洞穴已有千年……”吟着古老的歌谣，十三个矮人将比尔博拽进冒险远行的队伍。在这趟“意外之旅”之中，与世无争的霍比特人比尔博，却
https://book.douban.com/subject/21328036/,逃离德黑兰,一位传奇的艺术家特工一段真实的历史一份保密17年的中情局档案一个男 人的责任、信心与勇气一个伟大的故事！这个真实的故事讲述了一个男人的勇气与责任，以及在绝境中看到希望的坚定信心。1979年11月4日，六位美国外交官设法逃出了激进分子围攻的美国大使馆。其余人员遭到扣押，长达444天。六位逃亡者在加拿大使馆留宿了两个多月，直到中央情报局展开冒险营救行动。门德兹是中央情报局顶级“偷越封锁线”特工。他想出了勇敢的计划，断定这样一个史无前例的营救行动需要大胆的掩盖。他在真正的
https://book.douban.com/subject/25836981/,爬出窗外并消失的百岁老人,在经历了充满传奇又匪夷所思的漫长一生后，阿朗·卡尔松栖息于他以为即将成为他在地球上最后一站的老年公寓。问题是，他的健康却不肯屈从。一天，他居然活到了三位数的年纪。华丽的庆典在等待着他，市长和本地的报纸都已就位。阿朗却不想看到这样的场面，他临时起意，从窗口爬出去，逃离了自己的生日聚会。仓促间，阿朗偶然得到一个旅行箱——原本他只需看管一下，可转眼间，他就成了小偷和警察们追寻的目标。《爬出窗外并消失的百岁老人》娓娓道来的是一场针对阿朗和他的临时结识的伙伴们展开的追踪，足迹遍及整个瑞典，历时一个月。而与此同时，这本书也讲述了一趟穿越20世纪的旅行——无忧无虑的阿朗·卡尔松的人生之旅。阿朗怎会救下了佛朗哥，还跟即将成为总统的杜鲁门共进晚餐？他为何搭上了前首相邱吉尔的便车，又被扔进中国的国共两党之争？此外，他是如何度过翻越喜马拉雅山的那几个月的？
https://book.douban.com/subject/25768151/,为奴十二年,《为奴十二年》是那种距离我们非常遥远，但只要一读，那种莫名的熟悉感就会扑面而来的故事。这也是为什么它写的是一段美国的历史，但却在今年撼动了整个世界电影圈的原因。因为《为奴十二年》中那些关于坚守生命、自由、尊严和信念的决心和执著，让人无法回避。它在奋力地为爱与亲情、为回家而抗争，它让冰冷的现代人潸然泪下。世界名著《汤姆叔叔的小屋》中的许多情节取材于这个故事，一个受过良好教育、会拉小提琴的自由黑人，被欺骗绑架贩卖为奴隶，他历经了十二年的非人生活，最终回到了家园。原来，在回家的漫漫长路上，无论时间，无论岁月，也无论地点，你、我、他都是一样的……
https://book.douban.com/subject/25766893/,成为简?奥斯丁,《成为简?奥斯丁》电影同名原著。简?奥斯丁，《傲慢与偏见》《理智与情感》《诺桑觉寺》《劝导》《爱玛》《曼斯菲尔德庄园》等多部世界名著的创作者，被誉为“可与莎士比亚平起平坐”的伟大女性作家。这本真实的全面的传记，给世人呈现了一个明知前路黑暗、仍要选择昂首前行的简?奥斯丁，讲述了一个比电影更丰富动人又充满了女性理性光辉的故事。作为同名电影《成为简?奥斯丁》的原著，它更具体更完整地诠释出了一个温情优美的简?奥斯丁，给电影打上一个完美的句号。简?奥斯丁失去了自己全心投入的爱情之后，两次拒绝了来自良好背景的年轻人的求婚，而这两人，的确诚心诚意地对简表达了爱慕并向她求婚。拒绝了他们，就拒绝了“回到史蒂文屯周边，成为一处美妙房子的女主人”、拥有经济保障和社会地位、“成为她所敬爱的家庭的一分子”等等的全部可能……《成为简?奥斯丁》作品本身也处处表现了裹挟在
https://book.douban.com/subject/11588813/,海上钢琴师,天堂的名单里，没有他的名字。他从未出生，从未死亡，从未存在。1900。海上钢琴师。一个传奇中的传奇。风靡全球的经典电影《海上钢琴师》原著作品，在意大利畅销了100万册《海上钢琴师》的导演托纳多雷说：“我非常欣赏《海上钢琴师》，无论是故事还是语言我都很喜欢，巴里科的语言很简练，但寓意深远。也许这就是他受年轻人追捧的原因所在。”1900年，“弗吉尼亚人号”豪华邮轮上，一个孤儿被遗弃在头等舱，由船上的水手抚养长大，取名一九○○。一九○○慢慢长大，显示出无师自通的钢琴天赋，在船上的乐队表演钢琴，听过他演奏的人，都被深深打动。爵士乐鼻祖杰尼听说一九○○的高超技艺，专门上船和他比赛，最后自叹弗如，黯然离去。这一切都发生在海上，一九○○从来不愿踏上陆地，直到有一天，他想看看大海，想下船，但还是没有去成。后来油轮被废弃，装满了炸弹，一九○○也随之而去。
https://book.douban.com/subject/3175259/,锅匠，裁缝，士兵，间谍,有时候，背叛不为别的，它是一种本能。一个外勤人员的告密搅动了英国情报机构“圆场”得之不易的平静，原来圆场十几年来一直潜伏着苏联情报头子卡拉安插的双面间谍，且是圆场四位高层中的一位。乱局之下，已被迫退休的史迈利奉命出山。锅匠，裁缝，士兵，水手，究竟谁是幕后主使？记忆力像计算机一样好的史迈利钻进尘封的故纸堆中寻找蛛丝马迹，逐渐将真相抽丝剥茧，终于解开了卡拉设置的“最后一个聪明的结”……
https://book.douban.com/subject/3654604/,天使与魔鬼,虔诚的上帝信徒——欧洲原子核研究组织的杰出科学家列奥纳多·维特勒毕生致力于以科学的手段证明神的存在。他和其养女、神秘妩媚的科学家维特多利亚在实验室里成功地制造出了一种极其强大的能量——“反物质”。在这个重大发现尚未对外公布时，列奥纳多在实验室里惨遭杀害，一颗眼珠被凶手挖走，胸口上赫然印着一个神秘的标记——“光照派”！更令人震惊的是，藏在地下的反物质不翼而飞。哈佛大学符号学专家罗伯特?兰登应欧洲原子核研究组织首领之邀，前来调查这个神秘的符号。就在他到达的当天，失踪的反物质在梵蒂冈城地下某处被人发现。离开了实验室的反物质，会在二十四小时之后自行爆炸。这天正是天主教教皇选举日，来自世界各地的天主教首领会聚在梵蒂冈城，藏在地下的反物质就如同一枚定时炸弹，如不能及时找到，整个梵蒂冈城便会在顷刻间灰飞烟灭。形势刻不容缓，兰登与维特多利亚一起踏上了前往梵蒂冈的
https://book.douban.com/subject/1072334/,魔戒前传,“从前有个霍比特人，住在地洞里。”霍比特人是一种比矮人个儿还小的人，善良精明而安分守已。毕尔博·巴金斯是他们当中的一个。这天他正在洞门口抽烟，来了大名鼎鼎的术士刚多尔夫，他为巴金斯带来了一队奇怪的客人。于是巴金斯先生和他们一起开始了可怕的旅程。在途中的一次磨难里，巴金斯无意中得到了那枚神奇的魔戒，世界从此变了……
